Date,The number of CIP inTeh,Aerosol,Gas,Modified Teh,Modified Aerosol,Modified Gas,The number of CIP in Isfahan,Aerosol,Gas,The modified number of CIP in Isfahan,Modified aerosol,Modified gas
2/20/2020,0,119,9,0,0.6,0.2,0,128,0,0,0.6,0.1
2/21/2020,4,69,10,0.2,0.3,0.2,0,76,0,0,0.4,0.1
2/22/2020,2,100,20,0.2,0.6,0.3,0,87,0,0,0.5,0.1
2/23/2020,4,146,17,0.2,0.7,0.3,0,117,0,0,0.6,0.1
2/24/2020,3,143,19,0.2,0.7,0.3,2,74,87,0.2,0.5,0.5
2/25/2020,8,141,10,0.2,0.7,0.2,0,117,108,0,0.6,0.6
2/26/2020,4,95,9,0.2,0.4,0.2,0,57,45,0,0.4,0.3
2/27/2020,38,33,5,0.3,0.2,0.1,8,59,60,0.2,0.4,0.3
2/28/2020,64,82,19,0.3,0.3,0.3,10,55,67,0.2,0.4,0.3
2/29/2020,52,161,17,0.3,0.8,0.3,12,95,79,0.2,0.5,0.7
3/1/2020,170,169,8,0.6,0.8,0.2,13,117,110,0.2,0.6,0.6
3/2/2020,0,151,4,0,0.7,0.1,0,87,86,0,0.5,0.5
3/3/2020,0,51,3,0,0.3,0.1,0,84,78,0,0.5,0.5
3/4/2020,253,74,7,0.7,0.3,0.1,0,48,43,0,0.3,0.3
3/5/2020,56,78,16,0.3,0.3,0.3,118,51,58,0.6,0.3,0.3
3/6/2020,61,121,18,0.3,0.6,0.3,150,101,89,0.7,0.6,0.5
3/7/2020,126,144,9,0.5,0.7,0.2,96,109,110,0.5,0.6,0.6
3/8/2020,266,81,6,0.7,0.5,0.1,80,75,92,0.5,0.5,0.5
3/9/2020,140,55,10,0.6,0.4,0.2,37,101,88,0.3,0.6,0.5
3/10/2020,169,72,19,0.6,0.5,0.3,17,57,71,0.2,0.3,0.3
3/11/2020,256,110,22,0.7,0.7,0.3,170,60,68,0.8,0.3,0.3
3/12/2020,303,129,22,0.8,0.7,0.3,4,98,93,0.2,0.5,0.5
3/13/2020,303,158,15,0.8,0.7,0.3,110,108,105,0.5,0.6,0.6
3/14/2020,347,146,5,0.8,0.7,0.1,155,93,77,0.7,0.5,0.5
3/15/2020,251,73,4,0.7,0.4,0.1,126,73,89,0.6,0.5,0.6
3/16/2020,200,84,14,0.6,0.5,0.2,118,54,58,0.5,0.3,0.3
3/17/2020,273,106,9,0.7,0.7,0.2,75,91,82,0.3,0.5,0.5
3/18/2020,213,81,6,0.7,0.6,0.1,162,94,100,0.7,0.5,0.6
3/19/2020,137,95,11,0.5,0.5,0.2,108,127,133,0.6,0.6,0.7
